1,funcionando legal,false,2026-05-19 20:27:15.295615911 -0300 -03 m=+0.000049683
2,funcionando legal,false,2026-05-19 20:27:16.433908581 -0300 -03 m=+0.000169105
3,funcionando legal,false,2026-05-19 20:27:17.367824204 -0300 -03 m=+0.000099896
4,funcionando legal,false,2026-05-19 20:27:17.715101985 -0300 -03 m=+0.000107410
5,funcionando legal,false,2026-05-19 20:27:18.044770836 -0300 -03 m=+0.000103433
6,funcionando legal,false,2026-05-19 20:27:18.328956553 -0300 -03 m=+0.000120264
7,funcionando legal,false,2026-05-19 20:27:18.650420224 -0300 -03 m=+0.000156281
8,funcionando legal,false,2026-05-19 20:27:18.941165611 -0300 -03 m=+0.000133298
9,funcionando legal,false,2026-05-19 20:27:19.215568465 -0300 -03 m=+0.000109695
10,funcionando legal,false,2026-05-19 20:27:19.515718944 -0300 -03 m=+0.000065142
11,funcionando legal,false,2026-05-19 20:27:19.817499723 -0300 -03 m=+0.000080470
12,funcionando legal,false,2026-05-19 20:27:20.114218194 -0300 -03 m=+0.000144008
13,funcionando legal,false,2026-05-19 20:27:20.446159583 -0300 -03 m=+0.000090839
14,fazer algo amanha,false,2026-05-19 20:31:01.531424749 -0300 -03 m=+0.000733669
